name,market_cap,place,symbol,rate,market_cap_format,market_cap_USD
Advanced Micro Devices,130.57億," - Advanced Micro Devices, Inc. (NASDAQ)",USD,1.0,1305700000000,1305700000000
Maxim Integrated Products,166.24億, - Maxim Integrated Products Inc. (NASDAQ),USD,1.0,1662400000000,1662400000000
KPN,98.72億, - Koninklijke KPN N.V. (AMS),EUR,1.1558,987200000000,1141005760000
Fujitsu,1.39兆, - Fujitsu Ltd (TYO),JPY,0.0092,139000000000000,1278800000000
Ametek,171.62億," - AMETEK, Inc. (NYSE)",USD,1.0,1716200000000,1716200000000
Mediatek,4974.64億, - 聯發科技 (TPE),TWD,,49746400000000,
NetApp,180.47億, - NetApp Inc. (NASDAQ),USD,1.0,1804700000000,1804700000000
Maxis,,,,1.0,,
Juniper Networks,94.62億," - Juniper Networks, Inc. (NYSE)",USD,1.0,946200000000,946200000000
Proximus,77.42億, - Proximus NV (EBR),EUR,1.1558,774200000000,894820360000
LG Electronics,16.40兆, - LG Electronics Inc. (KRX),KRW,0.0009,1640000000000000,1476000000000
Axiata Group,,,,1.0,,
Akamai Technologies,130.87億," - Akamai Technologies, Inc. (NASDAQ)",USD,1.0,1308700000000,1308700000000
Advanced Semiconductor,,,,1.0,,
Garmin,120.31億, - Garmin Ltd. (NASDAQ),USD,1.0,1203100000000,1203100000000
ZTE,"526,028", - 中興通訊 (HKG),HKD,0.1275,,
Liberty Interactive,99.43億, - Qurate Retail Inc Series A (NASDAQ),USD,1.0,994300000000,994300000000
LG Display,8.28兆, - LG Display Co Ltd (KRX),KRW,0.0009,828000000000000,745200000000
Samsung SDS,17.06兆, - Samsung SDS Co Ltd (KRX),KRW,0.0009,1706000000000000,1535400000000
OMRON,1.26兆, - OMRON Corporation (TYO),JPY,0.0092,126000000000000,1159200000000
CDW,123.21億, - CDW common stock (NASDAQ),USD,1.0,1232100000000,1232100000000
Ooredoo Telecom,,,,1.0,,
Nomura Research Institute,1.36兆, - Nomura Research Institute Ltd (TYO),JPY,0.0092,136000000000000,1251200000000
Amdocs,96.35億, - Amdocs Limited (NASDAQ),USD,1.0,963500000000,963500000000
VeriSign,157.91億," - Verisign, Inc. (NASDAQ)",USD,1.0,1579100000000,1579100000000
F5 Networks,105.60億," - F5 Networks, Inc. (NASDAQ)",USD,1.0,1056000000000,1056000000000
Flextronics International,73.69億, - Flex Ltd (NASDAQ),USD,1.0,736900000000,736900000000
Open Text,91.58億, - Open Text Corp (USA) (NASDAQ),USD,1.0,915800000000,915800000000
